"series","Basec","BottomUpc","JPPc","OLSc","OLScv","WLSc","WLScv","MinTShrc","MinTShrcv"
127,207.854547372593,207.854547372593,445.853368810132,205.053213512867,214.805334761504,195.459837157783,217.791853195293,187.739941453995,187.701695065491
128,13.0365884779795,13.0365884779795,192.021959841734,93.6579034711767,110.19979843321,45.8445861267697,101.627852117475,12.9741645478275,12.9689668361255
129,31.3621288764657,31.3621288764657,119.242454764378,95.6909012542088,111.060583260119,52.698442361405,107.613379945903,31.475309236917,31.5211145066364
130,16.776519164447,16.776519164447,191.210697911418,92.604686127113,108.524371705322,46.1893554773716,101.028729048599,16.7181039278695,16.713260498488
131,24.7446080369574,24.7446080369574,154.878186567775,91.7844757260939,107.991126491326,45.2834233799338,99.4230501434392,24.5274459730275,24.4576684703351
132,197.847240415519,197.847240415519,473.9166562544,191.277459208163,196.985382261512,186.151336172223,197.113458901226,228.551252832809,229.240250797206
133,73.8709375607283,73.8709375607283,69.7239745540075,98.4688757660827,109.708322452131,72.6609478348515,105.414989107241,72.5427559473596,71.0518845833955
134,3003.6515293446,3003.6515293446,2988.09812542989,2461.84709490932,2465.71609377268,2655.86946926386,2641.74274971884,2991.42382204312,2992.31537606309
135,69.3782200506057,69.3782200506057,524.134277444776,210.475050368774,210.562544765832,140.513889045387,158.041171703079,69.4387245162691,69.5522058367071
136,108.915583945862,108.915583945862,275.504167836976,278.982691712787,278.694068674755,213.39943725576,215.466673731749,111.35899878655,111.591985843303
137,898.035334285094,898.035334285094,2258.36117527191,795.460119713596,796.102904152445,822.496789052073,824.82260346403,734.845601085603,727.490989262163
138,273.370467925148,273.370467925148,320.78530056805,346.914012486518,343.658271084654,310.385844603458,299.616763296555,276.472520694215,280.612989457504
139,746.058677591895,746.058677591895,1890.87673303131,732.696999176746,732.716652865121,733.922822730925,732.369889498699,712.511234643808,716.445719785035
140,217.076846379178,217.076846379178,89.2085066203137,241.874288345512,244.992614410026,201.861170201207,220.669357871955,212.039057020725,212.646621254811
