,series,Basec,BottomUpc,JPPc,OLSc,OLScv,WLSc,WLScv,MinTShrc,MinTShrcv,EnergyScore_Opt
1081,83,52.5189683595669,52.5189683595669,114.388528760795,50.0230882048468,49.8957910383134,50.5056399351512,48.2023501209218,44.0766194906209,41.9029925964534,84.54768788341082
1082,84,13.7278167667685,13.7278167667685,26.3633117231551,18.766044213716,19.0854482863789,17.5683491911879,23.1806808897222,15.2426640387372,16.2369439598472,16.087214824406516
1083,85,41.4070687460168,41.4070687460168,47.6457733783887,34.6248265329211,34.0873954472081,36.3750396098869,29.2313723689314,38.3715476481388,38.5977274073725,21.43273301148603
1084,86,11.0880938902448,11.0880938902448,16.5007722595422,12.8999017173741,13.0359241267804,12.2164777611031,14.2529147307032,11.6022633537048,11.9725091790687,38.78902682140646
1085,87,109.481101223447,109.481101223447,129.711232653948,99.0498710555541,98.5542883916642,101.910780169836,94.6386330096856,98.1546172741277,96.5065278666583,42.028662885393715
1086,88,56.5680860029773,56.5680860029773,60.440818788801,45.5436668581034,44.9641289119935,48.779472990068,41.2028289538644,55.1548839743362,55.1242963403844,22.64730673238331
1087,89,7.39341136871447,7.39341136871447,7.81648689325627,9.85484403162387,10.0343737626444,7.12313853614464,9.69623556779337,6.20801767209239,6.11419210136322,23.143487566810723
1088,90,10.4175966270665,10.4175966270665,31.2624992883444,24.7406034348839,25.0323841993466,19.2924261381255,24.3897970848304,17.6685022598698,18.9591504464413,21.614309150055128
1089,91,8.98340305641599,8.98340305641599,32.4273856716148,28.2015486930462,28.4960853445811,21.5773481060373,27.7582695968427,12.6762113261436,12.9374980870428,18.900124668530953
1090,92,32.1441004278274,32.1441004278274,69.5807666814182,49.7701970731283,50.0888338458314,43.8412432689363,49.478337578597,51.2082076358685,53.4348089802326,80.94343938835463
1091,93,12.8992242805974,12.8992242805974,28.8486227563047,15.6217393777721,15.8442167664698,14.3528347290157,16.7318733657772,14.0484652118171,14.3880840508681,45.21859602153627
1092,94,40.2717360704051,40.2717360704051,65.8398484707852,49.2163378199138,49.7918906368501,45.4240255940266,52.0809679567094,45.9658007452183,46.6954120960398,49.11764859055476
1093,95,90.0183176232287,90.0183176232287,105.742248173097,53.7047506561327,53.2757044748513,62.4974760769709,57.4060971612571,65.9236110316508,64.0080818611167,87.62964941887641
1094,96,42.4545109386605,42.4545109386605,118.932064555001,61.4066210175015,61.7331341551905,55.3696788468194,58.6334281870354,60.9804191605866,65.0835815909768,78.02595451221978
1095,97,69.0741704908988,69.0741704908988,100.103537977132,48.8001713593805,48.5798660361917,53.2617479045851,50.5942539347585,49.9340556712557,46.3433820796917,171.26138000496306
1096,98,313.127450466552,313.127450466552,441.912906607677,369.744729791692,370.904632521267,335.307548712253,342.277950291344,356.928283447225,370.849351638548,109.9547612030672
